,HourUTC,HourDK,PriceArea,ConnectedArea,ReportGrpCode,Version,ReportGrp,SharePPM,ShareMWh,CO2Emission
0,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R01-1,Preliminary,BioGas,9905,49.60009,0.0
1,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R01-2,Preliminary,Straw,7405,37.082892,0.0
2,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R01-3,Preliminary,Wood,14103,70.624269,0.0
3,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R04x,Preliminary,FossilGas,5006,25.067808,9384.795768
4,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R05x,Preliminary,Coal,38169,191.131384,137473.706473
5,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R06x,Preliminary,Fossil Oil,813,4.072854,2735.594804
6,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R11x,Preliminary,Hydro,641,3.211507,0.0
7,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R16,Preliminary,Solar,18,0.094531,0.0
8,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R17,Preliminary,Waste,11340,56.785682,19227.112079
9,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R18,Preliminary,WindOffshore,178472,893.684921,0.0
10,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK1,R19,Preliminary,WindOnshore,256629,1285.049667,0.0
11,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R01-1,Preliminary,BioGas,372,1.865302,0.0
12,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R01-2,Preliminary,Straw,1427,7.147583,0.0
13,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R01-3,Preliminary,Wood,16526,82.753175,0.0
14,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R04x,Preliminary,FossilGas,207,1.040073,435.431058
15,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R05x,Preliminary,Coal,0,0.003055,2.782549
16,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R06x,Preliminary,Fossil Oil,102,0.514381,406.131849
17,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R16,Preliminary,Solar,2,0.012957,0.0
18,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R17,Preliminary,Waste,3785,18.953703,7029.453509
19,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R18,Preliminary,WindOffshore,37890,189.735281,0.0
20,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,DK2,R19,Preliminary,WindOnshore,13721,68.707427,0.0
21,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R01,Preliminary,Biomass,37962,190.094788,0.0
22,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R02,Preliminary,Brown coal,39261,196.600427,184102.831739
23,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R04x,Preliminary,Fossil gas,20313,101.718604,56245.011913
24,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R05x,Preliminary,Coal,15921,79.723379,74655.483387
25,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R06x,Preliminary,Fossil oil a.o.,1666,8.343014,6582.62831
26,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R11x,Preliminary,Hydro,20627,103.288926,
27,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R14,Preliminary,Nuclear,20996,105.136994,
28,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R15x,Preliminary,Other renewable,1109,5.554898,
29,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R17,Preliminary,Waste,6323,31.662878,13414.199753
30,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R18,Preliminary,Offshore,40356,202.080542,
31,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,GE,R19,Preliminary,Onshore,155590,779.105551,
32,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,SE,R06x,Preliminary,Fossil oil a.o.,2129,10.663558,8680.920847
33,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,SE,R11x,Preliminary,Hydro,14103,70.62184,
34,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,SE,R14,Preliminary,Nuclear,14030,70.258309,
